id;name;partner_id;customer_id;procurment_officer_name;procurment_contact_no;tickets;subscriptions
1;contextually-based Home Loan Account Books;3856;24428;North Korean Won Bahrain parsing;45132;Micronesia Assimilated Center;alarm Kansas utilize
2;Checking Account Engineer;89511;39553;system e-services Soft;68990;Sleek redefine digital;Pre-emptive
3;Guadeloupe invoice;21605;81135;Denar vortals Tools;8878;robust solution;mobile
4;Buckinghamshire;43254;25518;turquoise;66503;Licensed Fresh Pants Fresh Corners;Buckinghamshire Azerbaijanian Manat
5;Research open-source;55723;70118;multi-byte navigating;90086;Multi-lateral;Specialist magenta Optional
6;firewall systemic technologies;89858;69655;open-source Interactions;280;Gloves Intelligent Cotton Cheese Savings Account;Concrete product USB
7;input;43768;73409;Small Fresh Keyboard;9627;invoice Buckinghamshire Mouse;Administrator Optimization bandwidth
8;Technician;26362;33409;auxiliary Generic Rubber Gloves Zloty;45657;Pants invoice invoice;Liberia task-force
9;Cambridgeshire Computer impactful;20272;19317;Architect GB Uganda Shilling;72692;Soft Ball Ecuador;Plastic
10;Ergonomic Rubber Bike archive vortals;89442;16762;online Georgia;21771;e-services;invoice European Unit of Account 9(E.U.A.-9)
